iter	MultiRMSE
240	14.62642194
241	14.62320698
242	14.61497178
243	14.6112644
244	14.60361198
245	14.59972927
246	14.59336776
247	14.58673544
248	14.58074804
249	14.57464028
250	14.5681762
251	14.56058922
252	14.55674738
253	14.54949438
254	14.54059811
255	14.53391356
256	14.52884385
257	14.52031279
258	14.51274958
259	14.50839272
260	14.50394301
261	14.49721729
262	14.4889939
263	14.48166124
264	14.47641261
265	14.47214473
266	14.46748767
267	14.46226443
268	14.45734915
269	14.45113105
270	14.44745394
271	14.43903632
272	14.43407123
273	14.42889979
274	14.42406674
275	14.42069412
276	14.41727008
277	14.41346527
278	14.40885198
279	14.40607569
280	14.39793407
281	14.39272287
282	14.3884409
283	14.38078478
284	14.37393172
285	14.37051287
286	14.36652558
287	14.36310415
288	14.35616965
289	14.35408018
290	14.35107433
291	14.34718185
292	14.34402798
293	14.34002341
294	14.33495836
295	14.3299696
296	14.32000265
297	14.31609862
298	14.3108984
299	14.30625134
300	14.30371217
301	14.29547056
302	14.28939435
303	14.28379412
304	14.27782112
305	14.27385848
306	14.26876646
307	14.26220417
308	14.25817704
309	14.25111002
310	14.24366706
311	14.24184922
312	14.23458105
313	14.22967339
314	14.22204247
315	14.21794188
316	14.21408069
317	14.2079937
318	14.20284619
319	14.19951114
320	14.19495184
321	14.19083441
322	14.18948701
323	14.18443295
324	14.17760279
325	14.17509481
326	14.17169511
327	14.16647428
328	14.16417836
329	14.1591917
330	14.15617217
331	14.15227537
332	14.14753809
333	14.14390817
334	14.13973164
335	14.13406096
336	14.13051921
337	14.1263411
338	14.1229387
339	14.11816228
340	14.1135278
341	14.10913349
342	14.1043986
343	14.10096885
344	14.09709671
345	14.09511892
346	14.09091647
347	14.08464876
348	14.07976626
349	14.07599905
350	14.07203967
351	14.06992112
352	14.06572574
353	14.06236351
354	14.0569731
355	14.05179771
356	14.04819339
357	14.04651893
358	14.03954444
359	14.03346336
360	14.02993434
361	14.02695679
362	14.02241383
363	14.01925232
364	14.01457935
365	14.01097705
366	14.00704744
367	14.00488169
368	14.00104506
369	13.99750635
370	13.99417783
371	13.99177258
372	13.98753502
373	13.98418063
374	13.97912354
375	13.97622815
376	13.97251194
377	13.96727297
378	13.96342312
379	13.95900387
380	13.955462
381	13.95181532
382	13.94894906
383	13.94261157
384	13.93935725
385	13.9368703
386	13.93210154
387	13.92762281
388	13.92370444
389	13.92000747
390	13.91508143
391	13.91167101
392	13.90909383
393	13.90610077
394	13.90312108
395	13.90015666
396	13.89729995
397	13.89331734
398	13.89232946
399	13.88981595
400	13.88763509
401	13.88469301
402	13.88113118
403	13.87925578
404	13.87640633
405	13.87411345
406	13.87105021
407	13.8695203
408	13.86695868
409	13.86358974
410	13.85933159
411	13.85450056
412	13.8519841
413	13.84803767
414	13.84498979
415	13.84041121
416	13.83802831
417	13.83544529
418	13.83341052
419	13.83133116
420	13.82803679
421	13.82477795
422	13.82202637
423	13.81956366
424	13.81587632
425	13.81303069
426	13.8104177
427	13.80587335
428	13.80379551
429	13.79936186
430	13.79519024
431	13.79225577
432	13.79010446
433	13.78651352
434	13.78330301
435	13.77987521
436	13.77674542
437	13.77393996
438	13.77196456
439	13.76963285
440	13.76701941
441	13.76382434
442	13.76074616
443	13.75669445
444	13.75451955
445	13.75183674
446	13.74954292
447	13.74707897
448	13.74554637
449	13.74160054
450	13.73934951
451	13.73636692
452	13.73434385
453	13.73258216
454	13.73058749
455	13.72722615
456	13.72458374
457	13.72297743
458	13.71996901
459	13.71735404
460	13.71474031
461	13.71143397
462	13.70846646
463	13.70549816
464	13.70236256
465	13.69996094
466	13.69841092
467	13.69595297
468	13.69362284
469	13.69117205
470	13.6884923
471	13.68437725
472	13.68227228
473	13.68040298
474	13.67700985
475	13.67616661
476	13.67416256
477	13.67098351
478	13.66814053
479	13.66537496
480	13.66141277
481	13.65841657
482	13.65624848
483	13.65468958
484	13.65285398
485	13.65164384
486	13.64859042
487	13.64670503
488	13.64463283
489	13.64136615
490	13.64008919
491	13.63795277
492	13.63543881
493	13.63383988
494	13.63156433
495	13.62947751
496	13.62788188
497	13.62628257
498	13.62505619
499	13.62196446
500	13.62001649
501	13.61818593
502	13.61512587
503	13.61189961
504	13.61110604
505	13.60962489
506	13.6076311
507	13.60634715
508	13.60439373
509	13.60249849
510	13.60199027
511	13.599689
512	13.59784342
513	13.59667478
514	13.5946629
515	13.59265089
516	13.59108514
517	13.58993091
518	13.58839753
519	13.5864923
520	13.58568064
521	13.58475397
522	13.58257927
523	13.58153452
524	13.5798826
525	13.57749576
526	13.57433299
527	13.57305184
528	13.57188741
529	13.56978289
530	13.56683305
531	13.56581809
532	13.56433535
533	13.56354242
534	13.56256356
535	13.55979279
536	13.55792196
537	13.55598593
538	13.5535942
539	13.55180602
540	13.55058646
541	13.54808762
542	13.54604165
543	13.5446665
544	13.54409449
545	13.54196838
546	13.54115532
547	13.54069914
548	13.53832689
